player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,match_id,Bad Behaviour,Own Goal Against,50/50,Own Goal For
5242,Younès Belhanda,Schalke 04,44,9,0,29,1,3,1,1,2,,0,1,0,0,1,,36,0.0,0.0,21,0.0,0,3890465,0.0,,0.0,
5543,Haris Seferović,Eintracht Frankfurt,61,7,2,31,0,5,0,0,5,,2,1,0,1,1,,35,0.0,0.0,26,0.0,4,3890465,0.0,,0.0,
5681,Makoto Hasebe,Eintracht Frankfurt,34,6,3,34,1,0,0,1,6,,1,2,0,0,0,,53,0.0,0.0,18,0.0,0,3890465,1.0,,0.0,
6317,Marco Jhonfai Fabián De La Mora,Eintracht Frankfurt,61,2,2,46,0,0,3,0,5,,2,2,0,0,4,,43,0.0,0.0,30,0.0,0,3890465,0.0,,1.0,
6717,Johannes Geis,Schalke 04,38,3,4,35,2,0,1,1,6,,1,4,0,3,0,,58,0.0,0.0,15,0.0,0,3890465,0.0,,0.0,
8060,Klaas-Jan Huntelaar,Schalke 04,42,2,0,8,0,1,0,0,4,,2,2,0,0,1,,13,0.0,0.0,14,0.0,1,3890465,0.0,,0.0,
8504,Bastian Oczipka,Eintracht Frankfurt,42,6,1,40,2,0,0,1,2,,0,0,0,0,1,,54,0.0,0.0,8,0.0,0,3890465,0.0,,0.0,
8508,Max Meyer,Schalke 04,24,3,0,23,0,1,0,0,0,,0,1,0,0,0,,22,0.0,0.0,5,0.0,0,3890465,1.0,,0.0,
8512,Franco Matías Di Santo,Schalke 04,8,2,0,3,0,1,0,0,1,,0,0,0,0,0,,3,0.0,0.0,4,0.0,0,3890465,0.0,,0.0,
8517,Ralf Fährmann,Schalke 04,33,6,0,31,0,0,0,0,0,,0,0,13,0,0,,57,0.0,0.0,0,0.0,0,3890465,0.0,,0.0,
8667,Lukáš Hrádecký,Eintracht Frankfurt,21,5,0,25,0,0,0,0,0,,0,0,10,0,0,,43,0.0,0.0,0,0.0,0,3890465,0.0,,0.0,
8678,David Ángel Abraham,Eintracht Frankfurt,31,6,1,34,7,0,2,1,5,,0,3,0,2,0,,42,0.0,0.0,12,0.0,0,3890465,0.0,,0.0,
8812,Marco Russ,Eintracht Frankfurt,32,5,1,23,2,2,0,0,4,,2,0,0,0,1,,34,0.0,0.0,12,0.0,2,3890465,0.0,,0.0,
8958,Dennis Aogo,Schalke 04,55,8,2,47,4,0,0,0,3,,3,2,0,1,0,,68,0.0,0.0,9,0.0,0,3890465,0.0,,0.0,
9216,Slobodan Medojević,Eintracht Frankfurt,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0.0,0.0,3,0.0,0,3890465,0.0,,0.0,
10822,Sonny Kittel,Eintracht Frankfurt,1,1,0,1,0,0,0,0,0,,0,0,0,0,0,,2,0.0,0.0,0,0.0,0,3890465,0.0,,0.0,
10896,Marc Stendera,Eintracht Frankfurt,41,5,4,40,1,3,1,1,5,,4,2,0,2,3,,40,0.0,0.0,40,0.0,1,3890465,0.0,,0.0,
16534,Roman Neustädter,Schalke 04,29,5,3,27,5,0,0,0,5,,2,1,0,3,0,,39,0.0,0.0,10,0.0,1,3890465,0.0,,0.0,
18888,Szabolcs Huszti,Eintracht Frankfurt,42,3,0,41,1,0,1,1,3,,2,0,0,2,1,,51,0.0,0.0,25,0.0,2,3890465,0.0,,1.0,
