player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,match_id,Player Off,Player On,Bad Behaviour
8326,Andries Noppert,Netherlands,0.0,28,4,0,23,0,0,0,0,0,,0,0,18,0,0,0.0,,44,0,0.0,0,3857274,0.0,0.0,
12803,Romario Andrés Ibarra Mina,Ecuador,0.0,4,0,0,1,0,0,0,0,0,,0,0,0,0,0,0.0,,2,4,0.0,0,3857274,0.0,0.0,
20750,Cody Mathès Gakpo,Netherlands,0.0,35,5,3,22,3,5,1,1,3,,1,1,0,0,2,0.0,,20,11,0.0,1,3857274,0.0,0.0,
21809,Jurriën David Norman Timber,Netherlands,1.0,51,3,2,46,6,2,1,0,6,,6,0,0,0,0,0.0,,64,22,1.0,0,3857274,0.0,0.0,
23830,Jhegson Sebastián Méndez Carabalí,Ecuador,0.0,49,8,2,47,0,0,1,1,1,,1,1,0,1,0,0.0,,63,19,0.0,0,3857274,0.0,0.0,
24085,Pervis Josué Estupiñán Tenorio,Ecuador,0.0,43,6,5,39,0,1,5,1,4,,2,3,0,3,1,0.0,,59,15,0.0,2,3857274,0.0,0.0,
28559,Enner Remberto Valencia Lastra,Ecuador,1.0,52,7,2,35,1,5,4,0,8,,1,2,0,2,6,0.0,,21,14,0.0,5,3857274,0.0,0.0,
30111,Felix Eduardo Torres Caicedo,Ecuador,0.0,50,4,0,48,6,0,0,0,2,,0,0,0,1,0,0.0,,64,2,0.0,0,3857274,0.0,0.0,
31152,Gonzalo Jordy Plata Jiménez,Ecuador,0.0,52,3,1,30,0,4,3,1,6,,0,0,0,0,2,0.0,,33,25,0.0,1,3857274,0.0,0.0,
34396,Michael Steveen Estrada Martínez,Ecuador,0.0,39,1,0,16,1,1,0,1,5,,3,3,0,0,4,0.0,,17,14,0.0,2,3857274,0.0,0.0,
37522,Hernán Ismael Galíndez,Ecuador,0.0,9,4,0,9,0,0,0,0,0,,0,0,3,0,0,0.0,,20,0,0.0,0,3857274,0.0,0.0,
37726,Moisés Isaac Caicedo Corozo,Ecuador,0.0,50,6,4,40,2,0,1,0,6,,3,1,0,0,2,0.0,,55,26,0.0,2,3857274,0.0,0.0,
37737,Angelo Smit Preciado Quiñónez,Ecuador,0.0,27,7,1,25,1,1,1,0,2,,0,0,0,2,2,0.0,,37,14,0.0,3,3857274,1.0,1.0,
38004,Piero Martín Hincapié Reyna,Ecuador,0.0,29,4,1,23,5,0,0,0,5,,3,1,0,2,0,0.0,,44,22,1.0,0,3857274,0.0,0.0,
40211,Jeremy Leonel Sarmiento Morante,Ecuador,1.0,13,2,0,8,0,1,0,0,2,,0,1,0,0,1,0.0,,10,1,0.0,0,3857274,0.0,0.0,
51969,Jackson Gabriel Porozo Vernaza,Ecuador,0.0,31,4,3,28,2,1,0,0,2,,0,2,0,4,0,1.0,,37,11,0.0,0,3857274,0.0,0.0,
