country,roster_name,position,shirt_number
Morocco (MAR),BELAMMARI Youssef,Defender,19
Morocco (MAR),AMAIMOUNI Ayoube,Forward,21
Morocco (MAR),TAGNAOUTI Ahmed,Goalkeeper,22
Morocco (MAR),EL KHANNOUSS,Midfielder,23
Morocco (MAR),EL AYNAOUI,Midfielder,24
Morocco (MAR),HALHAL Redouane,Defender,25
Morocco (MAR),SALAH EDDINE,Defender,26
Netherlands (NED),VAN HECKE,Defender,6
Netherlands (NED),KLUIVERT Justin,Midfielder,7
Netherlands (NED),WIEFFER Mats,Defender,12
Netherlands (NED),ROEFS Robin,Goalkeeper,13
Netherlands (NED),TIL Guus,Midfielder,16
Netherlands (NED),BROBBEY Brian,Forward,19
Netherlands (NED),DE JONG,Midfielder,21
Netherlands (NED),FLEKKEN Mark,Goalkeeper,23
Netherlands (NED),SUMMERVILLE Crysencio,Forward,24
Netherlands (NED),HATO Jorrel,Defender,25
Netherlands (NED),TIMBER Quinten,Midfielder,26
New Zealand (NZL),CROCOMBE Max,Goalkeeper,1
New Zealand (NZL),PAYNE Tim,Defender,2
New Zealand (NZL),DE VRIES,Defender,3
New Zealand (NZL),BINDON Tyler,Defender,4
New Zealand (NZL),BOXALL Michael,Defender,5
New Zealand (NZL),BELL Joe,Midfielder,6
New Zealand (NZL),ROGERSON Logan,Forward,7
New Zealand (NZL),STAMENIC Marko,Midfielder,8
New Zealand (NZL),WOOD Chris,Forward,9
New Zealand (NZL),SINGH Sarpreet,Midfielder,10
New Zealand (NZL),JUST Elijah,Midfielder,11
New Zealand (NZL),PAULSEN Alex,Goalkeeper,12
New Zealand (NZL),CACACE Liberato,Defender,13
New Zealand (NZL),RUFER Alex,Midfielder,14
New Zealand (NZL),PIJNAKER Nando,Defender,15
New Zealand (NZL),SURMAN Finn,Defender,16
New Zealand (NZL),BARBAROUSES Kosta,Forward,17
New Zealand (NZL),WAINE Ben,Forward,18
New Zealand (NZL),OLD Ben,Midfielder,19
New Zealand (NZL),McCOWATT Callum,Midfielder,20
New Zealand (NZL),RANDALL Jesse,Forward,21
New Zealand (NZL),WOUD Michael,Goalkeeper,22
