country,country_clean,roster_name,position,shirt_number,player_id,database_name,database_team,matched,match_method
Haiti (HAI),Haiti,LACROIX Markhus,Defender,13,,,,False,unmatched
Haiti (HAI),Haiti,METUSALA Garven,Defender,14,,,,False,unmatched
Haiti (HAI),Haiti,PROVIDENCE Ruben,Forward,15,,,,False,unmatched
Haiti (HAI),Haiti,JOSEPH Lenny,Forward,16,,,,False,unmatched
Haiti (HAI),Haiti,JEAN JACQUES,Midfielder,17,,,,False,unmatched
Haiti (HAI),Haiti,ISIDOR Wilson,Forward,18,,,,False,unmatched
Haiti (HAI),Haiti,FORTUNE Yassin,Forward,19,,,,False,unmatched
Haiti (HAI),Haiti,PIERROT Frantzdy,Forward,20,,,,False,unmatched
Haiti (HAI),Haiti,CASIMIR Josue,Forward,21,,,,False,unmatched
Haiti (HAI),Haiti,DUVERNE Jean-Kevin,Defender,22,,,,False,unmatched
Haiti (HAI),Haiti,DUVERGER Josue,Goalkeeper,23,,,,False,unmatched
Haiti (HAI),Haiti,PAUGAIN Wilguens,Defender,24,,,,False,unmatched
Haiti (HAI),Haiti,SIMON Dominique,Midfielder,25,,,,False,unmatched
Haiti (HAI),Haiti,PIERRE Woodensky,Midfielder,26,,,,False,unmatched
IR Iran (IRN),IR Iran,HARDANI Saleh,Defender,2,,,,False,unmatched
IR Iran (IRN),IR Iran,KHALILZADEH Shoja,Defender,4,,,,False,unmatched
IR Iran (IRN),IR Iran,MOHEBBI Mohammad,Midfielder,8,,,,False,unmatched
IR Iran (IRN),IR Iran,GHAYEDI Mehdi,Forward,10,,,,False,unmatched
IR Iran (IRN),IR Iran,ALIPOUR Ali,Forward,11,,,,False,unmatched
IR Iran (IRN),IR Iran,NIAZMAND Payam,Goalkeeper,12,,,,False,unmatched
IR Iran (IRN),IR Iran,YOUSEFI Arya,Defender,17,,,,False,unmatched
IR Iran (IRN),IR Iran,HOSSEINZADEH Amirhossein,Forward,18,,,,False,unmatched
IR Iran (IRN),IR Iran,NEMATI Ali,Defender,19,,,,False,unmatched
IR Iran (IRN),IR Iran,MOGHANLOO Shahriyar,Forward,20,,,,False,unmatched
IR Iran (IRN),IR Iran,GHORBANI Mohammad,Midfielder,21,,,,False,unmatched
IR Iran (IRN),IR Iran,DARGAHI Dennis,Forward,24,,,,False,unmatched
IR Iran (IRN),IR Iran,IRI Danial,Defender,25,,,,False,unmatched
IR Iran (IRN),IR Iran,RAZAGHINIA Amirmohammad,Midfielder,26,,,,False,unmatched
Iraq (IRQ),Iraq,FAHAD TALIB,Goalkeeper,1,,,,False,unmatched
Iraq (IRQ),Iraq,REBIN SULAKA,Defender,2,,,,False,unmatched
Iraq (IRQ),Iraq,HUSSEIN ALI,Defender,3,,,,False,unmatched
Iraq (IRQ),Iraq,ZAID TAHSEEN,Defender,4,,,,False,unmatched
Iraq (IRQ),Iraq,AKAM HASHIM,Defender,5,,,,False,unmatched
Iraq (IRQ),Iraq,MUNAF YOUNUS,Defender,6,,,,False,unmatched
Iraq (IRQ),Iraq,YOUSSEF AMYN,Midfielder,7,,,,False,unmatched
