player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,Player Off,Player On,Bad Behaviour
9540,Harry Wilson,Wales,0.0,65,6,2,42,4,2,0,2,4,0.0,1,3,0,1,3,0.0,0.0,62,16,0.0,2,1.0,1.0,0.0
9638,Jack Grealish,England,0.0,66,5,5,61,0,2,2,1,4,0.0,0,11,0,2,0,0.0,0.0,56,18,0.0,1,0.0,0.0,0.0
9904,Frederico Rodrigues Santos,Brazil,0.0,83,8,2,70,3,2,1,1,4,0.0,4,0,0,1,2,0.0,0.0,80,31,0.0,3,0.0,0.0,0.0
9914,Daniel Ward,Wales,0.0,20,3,0,19,0,0,0,0,0,0.0,0,0,26,0,0,0.0,0.0,39,0,0.0,0,0.0,0.0,0.0
9922,David Junior Hoilett,Canada,1.0,66,12,0,59,0,6,6,1,7,0.0,1,5,0,2,3,0.0,0.0,55,18,0.0,4,0.0,0.0,0.0
9927,Rúben Diogo Da Silva Neves,Portugal,0.0,233,12,4,212,6,1,0,8,5,0.0,5,2,0,2,0,0.0,0.0,259,37,0.0,2,1.0,1.0,0.0
9980,Jamie MacLaren,Australia,0.0,31,0,0,6,0,0,0,2,4,0.0,1,0,0,1,1,0.0,0.0,16,11,0.0,0,0.0,0.0,0.0
10287,İlkay Gündoğan,Germany,1.0,151,18,3,128,1,1,4,0,8,0.0,3,2,0,1,4,1.0,0.0,163,18,0.0,6,0.0,0.0,0.0
10477,Stefan Mitrović,Serbia,0.0,17,0,1,12,1,0,0,1,2,0.0,0,0,0,0,0,0.0,0.0,19,4,0.0,0,0.0,0.0,0.0
10481,Aurélien Djani Tchouaméni,France,2.0,407,37,7,390,8,2,3,4,12,0.0,8,12,0,15,8,0.0,0.0,470,64,0.0,7,2.0,2.0,0.0
10530,Jules Olivier Ntcham,Cameroon,0.0,11,2,0,12,1,0,1,0,0,0.0,0,0,0,0,0,0.0,0.0,12,6,0.0,1,0.0,0.0,0.0
10595,Raphael Dias Belloli,Brazil,0.0,174,17,4,148,1,7,11,4,16,0.0,2,5,0,2,9,0.0,0.0,150,51,0.0,8,0.0,0.0,0.0
10868,Ricardo Jorge Luz Horta,Portugal,0.0,45,5,3,35,0,0,0,1,2,0.0,3,1,0,2,0,0.0,0.0,47,25,0.0,3,0.0,0.0,0.0
10931,Joe Allen,Wales,2.0,30,9,2,23,5,0,0,0,2,1.0,1,2,0,1,1,0.0,0.0,36,10,0.0,2,0.0,0.0,0.0
